Artist,Song,Explicit,Explicit_f,Year,Popularity,Popularity_f,Danceability,Energy,Speechiness,Acousticness,Liveness,Valence,Genre
Ariana Grande,Break Free,0,FALSE,2014,0.2,20,0.687,0.702,0.0455,0.0064,0.204,0.284,pop
Kungs,This Girl - Kungs Vs. Cookin' On 3 Burners,0,FALSE,2016,0.2,20,0.79,0.705,0.0383,0.0807,0.251,0.501,"pop, Dance/Electronic"
Nick Jonas,Jealous - Remix,1,TRUE,2014,0.2,20,0.685,0.709,0.0748,0.0132,0.452,0.504,pop
Tove Lo,Cool Girl,1,TRUE,2016,0.2,20,0.674,0.71,0.111,0.343,0.129,0.234,"pop, Dance/Electronic"
DB Boulevard,Point Of View - Radio Edit,0,FALSE,2018,0.2,20,0.676,0.715,0.0287,0.00284,0.0685,0.275,Dance/Electronic
Maroon 5,Cold (feat. Future),1,TRUE,2017,0.2,20,0.697,0.716,0.113,0.118,0.0424,0.506,pop
Aaliyah,Rock The Boat,0,FALSE,2019,0.2,20,0.641,0.72,0.0336,0.0688,0.193,0.418,"hip hop, pop, R&B"
Maroon 5,Maps,0,FALSE,2014,0.2,20,0.737,0.723,0.0295,0.0179,0.0675,0.893,pop
Katy Perry,Unconditionally,0,FALSE,2013,0.2,20,0.555,0.729,0.0387,0.00357,0.209,0.369,pop
G-Eazy,Him & I,1,TRUE,2017,0.2,20,0.589,0.731,0.0868,0.0534,0.308,0.191,"hip hop, pop"
P!nk,Who Knew,0,FALSE,2006,0.2,20,0.688,0.734,0.0274,0.00462,0.0756,0.46,pop
Chris Brown,Fine China,0,FALSE,2013,0.2,20,0.659,0.735,0.056,0.0466,0.111,0.609,"hip hop, pop, R&B"
Ariana Grande,Side To Side,1,TRUE,2016,0.2,20,0.648,0.738,0.247,0.0408,0.292,0.603,pop
Justin Bieber,Friends (with BloodPop®),0,FALSE,2017,0.2,20,0.744,0.739,0.0387,0.00459,0.306,0.649,pop
Zara Larsson,Lush Life,0,FALSE,2015,0.2,20,0.658,0.741,0.0536,0.141,0.189,0.789,"pop, Dance/Electronic"
Axwell /\ Ingrosso,More Than You Know,0,FALSE,2017,0.2,20,0.645,0.741,0.0339,0.0323,0.29,0.534,"pop, Dance/Electronic"
Adele,Rumour Has It,0,FALSE,2011,0.2,20,0.612,0.748,0.0445,0.617,0.167,0.574,"pop, R&B"
Two Door Cinema Club,What You Know,0,FALSE,2010,0.2,20,0.55,0.753,0.0407,0.000665,0.0921,0.841,"World/Traditional, rock, pop"
Loud Luxury,Body (feat. brando),0,FALSE,2017,0.2,20,0.752,0.764,0.038,0.0476,0.0543,0.582,"pop, Dance/Electronic"
Silentó,Watch Me (Whip / Nae Nae),0,FALSE,2015,0.2,20,0.819,0.768,0.134,0.234,0.334,0.964,hip hop
Azealia Banks,212,1,TRUE,2014,0.2,20,0.847,0.769,0.258,0.0145,0.0767,0.626,"hip hop, pop, R&B"
Sheppard,Geronimo,0,FALSE,2014,0.2,20,0.707,0.771,0.0783,0.434,0.115,0.437,"pop, rock, Dance/Electronic"
G-Eazy,No Limit,1,TRUE,2017,0.2,20,0.838,0.771,0.244,0.0117,0.0853,0.405,"hip hop, pop"
Zedd,Clarity,0,FALSE,2012,0.2,20,0.523,0.78,0.0753,0.0366,0.0751,0.193,"hip hop, pop, Dance/Electronic"
